Cnpj|Nome|Codigo
10690848|BANCO DA CHINA BRASIL S.A.|03
04913711|BANCO DO ESTADO DO PARÁ S.A.|03
17351180|BANCO TRIANGULO S.A.|03
04332281|GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.|03
60850229|OMNI BANCO S.A.|03
33479023|BANCO CITIBANK S.A.|03
61348538|BANCO C6 CONSIGNADO S.A.|03
33254319|BANCO LOSANGO S.A. - BANCO MÚLTIPLO|03
45246410|BANCO GENIAL S.A.|03
50585090|BCV - BANCO DE CRÉDITO E VAREJO S.A.|03
92702067|BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.|03
62421979|BANCO CIFRA S.A.|03
62073200|BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.|03
60394079|BANCO ITAUBANK S.A.|03
59285411|BANCO PAN S.A.|03
17298092|BANCO ITAÚ BBA S.A.|03
62232889|BANCO DAYCOVAL S.A.|03
33172537|BANCO J.P. MORGAN S.A.|03
07237373|BANCO DO NORDESTE DO BRASIL S.A.|03
28811341|STONEX BANCO DE CÂMBIO S.A.|03
15114366|BANCO BOCOM BBM S.A.|03
15173776|SOCIAL BANK BANCO MÚLTIPLO S/A|03
13720915|BANCO WESTERN UNION DO BRASIL S.A.|03
03532415|BANCO ABN AMRO S.A.|03
01181521|BANCO COOPERATIVO SICREDI S.A.|03
33132044|BANCO CEDULA S.A.|03
44189447|BANCO DE LA PROVINCIA DE BUENOS AIRES|03
01852137|BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA|03
71027866|BANCO BS2 S.A.|03
92874270|BANCO DIGIMAIS S.A.|03
00556603|BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.|03
03323840|BANCO ALFA S.A.|03
33042151|BANCO DE LA NACION ARGENTINA|03
33042953|CITIBANK N.A.|03
11417016|SCANIA BANCO S.A.|03
13059145|BEXS BANCO DE CÂMBIO S/A|03
48795256|BANCO ANDBANK (BRASIL) S.A.|03
23903068|BANCO KOMATSU DO BRASIL S.A.|03
33885724|BANCO ITAÚ CONSIGNADO S.A.|03
07656500|BANCO KDB DO BRASIL S.A.|03
59274605|BANCO GM S.A.|03
09516419|PICPAY BANK - BANCO MÚLTIPLO S.A|03
57839805|BANCO TRICURY S.A.|03
33264668|BANCO XP S.A.|03
28517628|BANCO PACCAR S.A.|03
30723886|BANCO MODAL S.A.|03
60814191|BANCO MERCEDES-BENZ DO BRASIL S.A.|03
33466988|BANCO CAIXA GERAL - BRASIL S.A.|03
61820817|BANCO PAULISTA S.A.|03
78626983|BANCO VR S.A.|03
60518222|BANCO SUMITOMO MITSUI BRASILEIRO S.A.|03
11970623|BANCO SENFF S.A.|03
46518205|JPMORGAN CHASE BANK, NATIONAL ASSOCIATION|03
00558456|BANCO CETELEM S.A.|03
34270520|BANCO IBM S.A.|03
58017179|BANCO VOLVO BRASIL S.A.|03
00997185|BANCO B3 S.A.|03
19307785|MS BANK S.A. BANCO DE CÂMBIO|03
33923798|BANCO MASTER S/A|03
04814563|BANCO AFINZ S.A. - BANCO MÚLTIPLO|03
02318507|BANCO KEB HANA DO BRASIL S.A.|03
04902979|BANCO DA AMAZONIA S.A.|03
01522368|BANCO BNP PARIBAS BRASIL S.A.|03
76543115|BANCO SISTEMA S.A.|03
29030467|SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO|03
62331228|DEUTSCHE BANK S.A. - BANCO ALEMAO|03
91884981|BANCO JOHN DEERE S.A.|03
62307848|BANCO RCI BRASIL S.A.|03
07679404|BANCO TOPÁZIO S.A.|03
75647891|BANCO CRÉDIT AGRICOLE BRASIL S.A.|03
61190658|BANCO ITAÚ VEÍCULOS S.A.|03
27098060|BANCO DIGIO S.A.|03
58497702|BANCO LETSBANK S.A.|03
00795423|BANCO SEMEAR S.A.|03
23511655|DEUTSCHE SPARKASSEN LEASING DO BRASIL BANCO MÚLTIPLO S.A.|03
07441209|BANCO MONEO S.A.|03
58616418|BANCO FIBRA S.A.|03
32062580|BANCO CREDIT SUISSE (BRASIL) S.A.|03
07207996|BANCO BRADESCO FINANCIAMENTOS S.A.|03
80271455|BANCO RNX S.A.|03
11703662|TRAVELEX BANCO DE CÂMBIO S.A.|03
05040481|BANCO DE LAGE LANDEN BRASIL S.A.|03
10866788|BANCO BANDEPE S.A.|03
04866275|BANCO INBURSA S.A.|03
11758741|BANCO FINAXIS S.A.|03
54403563|BANCO ARBI S.A.|03
11476673|BANCO RANDON S.A.|03
02658435|BANCO CATERPILLAR S.A.|03
03609817|BANCO CARGILL S.A.|03
61033106|BANCO CREFISA S.A.|03
17192451|BANCO ITAUCARD S.A.|03
74828799|NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO|03
03634220|BANCO HONDA S.A.|03
53518684|BANCO HSBC S.A.|03
17453575|ICBC DO BRASIL BANCO MÚLTIPLO S.A.|03
31597552|BANCO CLASSICO S.A.|03
23522214|COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO|03
31880826|BANCO GUANABARA S.A.|03
30172491|BANCO HYUNDAI CAPITAL BRASIL S.A.|03
03215790|BANCO TOYOTA DO BRASIL S.A.|03
31895683|BANCO INDUSTRIAL DO BRASIL S.A.|03
62237425|BANCO FIDIS S/A|03
60889128|BANCO SOFISA S.A.|03
68900810|BANCO RENDIMENTO S.A.|03
33644196|BANCO FATOR S.A.|03
33603457|BANCO RODOBENS S.A.|03
78632767|BANCO OURINVEST S.A.|03
15124464|BANCO BESA S.A.|03
09274232|STATE STREET BRASIL S.A. - BANCO COMERCIAL|03
17184037|BANCO MERCANTIL DO BRASIL S.A.|03
06271464|BANCO BRADESCO BBI S.A.|03
14388334|PARANÁ BANCO S.A.|03
33147315|BANCO BRADESCO BERJ S.A.|03
04184779|BANCO BRADESCARD S.A.|03
61533584|BANCO SOCIETE GENERALE BRASIL S.A.|03
59118133|BANCO LUSO BRASILEIRO S.A.|03
61088183|BANCO MIZUHO DO BRASIL S.A.|03
92894922|BANCO ORIGINAL S.A.|03
15357060|BANCO WOORI BANK DO BRASIL S.A.|03
30306294|BANCO BTG PACTUAL S.A.|03
60872504|ITAÚ UNIBANCO HOLDING S.A.|03
60701190|ITAÚ UNIBANCO S.A.|03
36658769|BANCO XCMG BRASIL S.A.|03
08357240|BANCO CSF S.A.|03
28127603|BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO|03
00416968|BANCO INTER S.A.|03
10371492|BANCO YAMAHA MOTOR DO BRASIL S.A.|03
62144175|BANCO PINE S.A.|03
07450604|CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A|03
10664513|BANCO AGIBANK S.A.|03
03017677|BANCO J. SAFRA S.A.|03
58160789|BANCO SAFRA S.A.|03
00000208|BRB - BANCO DE BRASILIA S.A.|03
61024352|BANCO VOITER S.A.|03
13009717|BANCO DO ESTADO DE SERGIPE S.A.|03
09526594|BANCO MASTER DE INVESTIMENTO S.A.|03
43818780|DAYCOVAL LEASING - BANCO MÚLTIPLO S.A.|03
01023570|BANCO RABOBANK INTERNATIONAL BRASIL S.A.|03
02038232|BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB|03
61182408|BANCO INVESTCRED UNIBANCO S.A.|03
01858774|BANCO BV S.A.|03
59588111|BANCO VOTORANTIM S.A.|03
61186680|BANCO BMG S.A.|03
31872495|BANCO C6 S.A.|03
03012230|HIPERCARD BANCO MÚLTIPLO S.A.|03
60746948|BANCO BRADESCO S.A.|03
00000000|BANCO DO BRASIL S.A.|03
01701201|KIRTON BANK S.A. - BANCO MÚLTIPLO|03
00360305|CAIXA ECONOMICA FEDERAL|03
90400888|BANCO SANTANDER (BRASIL) S.A.|03
55230916|INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO|03
08609934|MONEYCORP BANCO DE CÂMBIO S.A.|03
00517645|BANCO RIBEIRAO PRETO S.A.|03
10264663|BANCOSEGURO S.A.|03
28195667|BANCO ABC BRASIL S.A.|03
07412987|COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL ALIANÇA|04
07946451|COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA MEIO OESTE - CRESOL MEIO OESTE|04
71479653|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA ÁREA DE SAÚDE DE NÍVEL SUPERIOR DE JUIZ DE FORA LTDA. - UNICRED CAMINHO NOVO|04
07097064|COOPERATIVA DE CRÉDITO SICOOB CONFIANÇA|04
10013534|COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL NORDESTE|04
03502131|COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE|04
01439107|BARRACRED - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO|04
62562012|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA NESTLÉ - CREDI NESTLÉ|04
26178111|COOPERATIVA DE CRÉDITO UNIÃO CENTRO OESTE LTDA. - SICOOB UNIÃO CENTRO OESTE|04
01530136|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA COMPANHIA PAULISTA DE TRENS METROPOLITANOS - COOPERTREM|04
16651002|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES MUNICIPAIS DE ITABIRA LTDA. - SICOOB COSEMI|04
03428338|SICREDI CREDUNI - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERV DAS INST PÚBLICAS DE ENSINO SUPERIOR DO ESTADO DA PARAÍBA E DAS DEMAIS INSTITUIÇÕES E ÓRGÃOS PÚBLICOS NO ESTADO DA PARAIBA LTDA.|04
41180092|SICREDI EXPANSÃO - COOPERATIVA DE CRÉDITO|04
08240446|COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM|04
42873828|COOPERATIVA DE CRÉDITO AGROCREDI LTDA. - SICOOB AGROCREDI|04
07206072|COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NOVOS HORIZONTES - SICREDI NOVOS HORIZONTES PR/SP|04
87784088|COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SUL MINAS DO RIO GRANDE DO SUL E MINAS GERAIS - SICREDI SUL MINAS RS/MG.|04
07651495|COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS PÚBLICOS DO PODER JUDICIÁRIO DA CAPITAL DO ESTADO DE SÃO PAULO - SICOOB JUDCRED|04
05097757|COOPERATIVA DE CRÉDITO E SERVIÇOS FINANCEIROS DE CURITIBA E REGIÃO METROPOLITANA|04
25606237|COOPERATIVA DE POUPANÇA E CRÉDITO DO VALE DO RIO DOCE LTDA - SICOOB CREDIRIODOCE|04
76461557|COOPERATIVA DE CRÉDITO RURAL COOPAVEL|04
67341487|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA TETRA PAK|04
84156470|COOPERATIVA DE CRÉDITO DOS INTEGRANTES DO MINISTÉRIO PÚBLICO E DO PODER JUDICIÁRIO NOS ESTADOS DO AMAPÁ E CEARÁ E LIVRE ADMISSÃO NO ESTADO DO PARÁ - SICOOB COIMPPA|04
87780268|COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS|04
94433109|COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS DE PORTO ALEGRE LTDA-UNICRED PORTO ALEGRE|04
46642294|COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DA EMBRAER - COOPEREMB|04
70119680|COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORDESTE - CENTRAL SICREDI NORDESTE|04
05983995|COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA COOPERAR - CRESOL COOPERAR|04
05241619|COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO LESTE DE MATO GROSSO - SICOOB PRIMAVERA MT|04
03662047|COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DAS CARREIRAS DO MINISTÉRIO PÚBLICO, TRIBUNAL DE CONTAS E SECRETARIA DA FAZENDA DO RIO GRANDE DO SUL - SICREDI MP RS|04
04247370|COOPERATIVA DE CRÉDITO DE EMPRESÁRIOS - SICOOB/TRANSCREDI|04
02738981|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA FUNDAÇÃO ARTHUR BERNARDES LTDA. - COOFAB|04
04249235|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA TEKSID DO BRASIL LTDA., NEMAK ALUMÍNIO DO BRASIL LTDA. E TUPY MINAS GERAIS LTDA.|04
87900601|COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO BOTUCARAÍ - SICREDI BOTUCARAÍ RS/MG|04
87900411|COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE ESPUMOSO - SICREDI ESPUMOSO RS/MG|04
00512839|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO MUNICIPIO DE SANTO ANDRÉ - SP - SICOOB CECRESA|04
03674133|COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS EM INSTITUIÇÕES DO SISTEMA FINANCEIRO NAS REGIÕES DE SÃO PAULO E CAMPINAS (SP) - CREDISCOOP|04
17411307|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS PLASCAR|04
44469161|COOPECREDI GUARIBA - COOPERATIVA DE CREDITO|04
01572667|COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED ERECHIM LTDA|04
08482873|COOPERATIVA DE CRÉDITO RURAL DO AGRESTE ALAGOANO - COOPERAGRE|04
